2024-10-19T10:12:44.978Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:07:50.566Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:09:56.892Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:10:02.154Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:10:07.840Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:10:14.955Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:17.278Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:17.590Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:17.785Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:17.978Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:18.160Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:18.342Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:18.574Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:18.811Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:19.086Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:19.286Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:19.471Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:19.645Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:10:20.094Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:12:33.072Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:12:38.513Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:12:45.135Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:12:51.499Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:12:54.225Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:26.837Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:18:31.333Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:18:38.101Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:18:43.463Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:46.399Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:46.577Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:46.756Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:46.922Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:47.459Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:47.615Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:47.785Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:47.953Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:48.111Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:18:48.407Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:19:41.854Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:19:46.670Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:19:56.003Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:20:00.635Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:20:02.915Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:20:29.517Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:20:33.845Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:20:39.610Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:20:44.281Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:20:45.765Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:20:45.923Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:20:46.081Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:22:12.098Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:22:17.141Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:22:24.574Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:22:30.405Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:24:24.633Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:24:29.130Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:24:33.889Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:24:33.901Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:24:40.420Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:26:30.123Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:26:35.756Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:27:15.671Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:27:20.700Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:29:35.495Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:29:40.298Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:29:55.366Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:30:02.595Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:38:25.356Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:38:31.838Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:38:39.988Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:38:46.825Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:41:42.284Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:41:46.526Z - User: nami, Action: 모바일 로그인, 실패, 잘못된 ID 또는 비밀번호
2024-10-19T13:41:58.499Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:42:03.906Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:42:09.581Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:43:19.341Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:43:24.129Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:43:31.932Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:43:36.363Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:45:47.448Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:45:53.260Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:46:01.371Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:46:08.418Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:52:10.701Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:52:15.991Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:52:22.145Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:52:29.857Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:54:47.588Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:54:52.660Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:54:59.794Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:55:04.329Z - User: nami, Action: OTP 인증, 실패, 만료 또는 잘못된 OTP
2024-10-19T13:55:46.420Z - User: nami, Action: OTP 인증, 실패, 만료 또는 잘못된 OTP
2024-10-19T13:55:52.549Z - User: nami, Action: OTP 인증, 실패, 만료 또는 잘못된 OTP
2024-10-19T13:56:59.499Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:57:04.402Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:57:10.009Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:57:15.089Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T13:59:06.627Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T13:59:14.051Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T13:59:23.346Z - User: nami, Action: 로그인, 성공, 
2024-10-19T13:59:30.455Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:00:04.793Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:00:09.121Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:00:16.633Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:00:24.647Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:00:32.907Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:00:33.552Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:00:33.776Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:00:33.978Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:00:34.539Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:03:24.212Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:06:30.868Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:06:40.885Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:06:47.972Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:08:31.519Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:08:36.731Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:08:42.513Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:08:50.165Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:10:34.967Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:10:40.229Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:10:46.847Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:10:52.573Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:13:06.145Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:13:10.584Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:13:16.459Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:13:22.870Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:14:24.769Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:14:30.468Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:14:39.729Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:14:46.130Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:17:42.109Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:17:50.618Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:17:59.316Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:18:04.788Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:19:43.654Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:19:48.288Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:19:55.908Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:20:02.250Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:23:44.401Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:23:49.129Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:23:56.810Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:24:02.811Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:24:25.460Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:24:31.214Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:24:39.633Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:24:46.328Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:50:03.668Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:50:09.866Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:50:19.606Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:50:29.112Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:52:27.975Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:52:33.285Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:52:41.607Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:52:50.416Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:56:45.585Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:56:50.222Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:57:02.123Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:57:10.885Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T14:58:36.043Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T14:58:41.066Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T14:58:48.037Z - User: nami, Action: 로그인, 성공, 
2024-10-19T14:58:56.303Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:03:43.360Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:03:48.399Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:04:03.479Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:04:11.977Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:05:09.327Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:05:14.382Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:05:26.042Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:05:35.940Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:10:28.285Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:10:33.125Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:10:48.839Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:10:57.131Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:11:36.942Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:11:41.753Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:11:49.350Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:11:55.984Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:14:29.747Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:14:34.726Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:14:47.285Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:14:54.045Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:15:34.899Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:15:42.182Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:15:57.992Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:16:04.949Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:23:24.313Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:23:29.129Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:23:40.474Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:23:49.202Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:24:23.483Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:25:19.692Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:25:35.065Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:25:42.503Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:26:12.409Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:26:18.010Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:26:35.453Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:26:43.956Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:28:26.386Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:28:32.672Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:28:48.985Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:28:56.648Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:31:17.025Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:31:21.999Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:31:35.633Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:31:43.942Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:38:07.180Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:38:14.362Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:38:33.015Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:38:39.703Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:40:44.421Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:40:49.871Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:41:03.086Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:41:10.592Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:43:27.500Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:43:35.597Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:43:48.380Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:43:56.125Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:45:49.214Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:45:54.017Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:46:02.862Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:46:11.542Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:49:48.884Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:49:53.567Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:50:10.125Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:50:16.781Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:54:33.049Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:54:38.309Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:55:41.602Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-19T15:55:46.647Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-19T15:55:57.856Z - User: nami, Action: 로그인, 성공, 
2024-10-19T15:56:13.253Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:56:32.128Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:56:32.670Z - User: nami, Action: OTP 인증, 성공, 
2024-10-19T15:56:34.347Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:42:12.198Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-20T02:42:17.678Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T02:42:22.817Z - User: nami, Action: 로그인, 성공, 
2024-10-20T02:42:30.096Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:43:17.595Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:43:56.782Z - User: nami, Action: 모바일 로그아웃, 성공, 
2024-10-20T02:44:01.650Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T02:44:27.844Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T02:44:38.521Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:44:40.274Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:44:40.877Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:44:42.012Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:44:42.207Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:44:42.391Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:47:06.329Z - User: nami, Action: 로그인, 성공, 
2024-10-20T02:47:06.333Z - User: nami, Action: 로그인, 성공, 
2024-10-20T02:47:13.843Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:47:54.218Z - User: nami, Action: 로그인, 성공, 
2024-10-20T02:48:02.889Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:50:00.037Z - User: nami, Action: 로그인, 성공, 
2024-10-20T02:50:10.334Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:50:29.337Z - User: nami, Action: 로그인, 성공, 
2024-10-20T02:50:40.910Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:53:23.371Z - User: nami, Action: 로그인, 성공, 
2024-10-20T02:53:35.746Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:55:19.734Z - User: nami, Action: 로그인, 성공, 
2024-10-20T02:55:29.814Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T02:56:13.949Z - User: nami, Action: 로그인, 성공, 
2024-10-20T02:56:31.881Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:03:44.140Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:04:09.269Z - User: nami, Action: OTP 인증, 실패, 만료 또는 잘못된 OTP
2024-10-20T03:04:11.876Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T03:06:06.355Z - User: nami, Action: 모바일 로그인, 성공, 
2024-10-20T03:06:09.755Z - User: nami, Action: OTP 재발급, 성공, 
2024-10-20T03:06:18.232Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:08:43.815Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:08:52.337Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:24:07.537Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:24:19.580Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:24:57.665Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:25:04.993Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:25:10.448Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:25:37.787Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:25:44.430Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:27:19.589Z - User: nami, Action: 로그인, 성공, 
2024-10-20T03:27:27.672Z - User: nami, Action: OTP 인증, 성공, 
2024-10-20T03:28:12.626Z - User: nami, Action: 로그인, 성공, 
